start_time,end_time,target_price,settled_as
2024-08-04T03:10:00+0530,2024-08-04T03:20:00+0530,60657.69,Yes
2024-08-04T03:15:00+0530,2024-08-04T03:25:00+0530,60696.95,No
2024-08-04T03:20:00+0530,2024-08-04T03:30:00+0530,60745.26,No
2024-08-04T03:25:00+0530,2024-08-04T03:35:00+0530,60649.99,No
2024-08-04T03:30:00+0530,2024-08-04T03:40:00+0530,60648.0,Yes
2024-08-04T03:35:00+0530,2024-08-04T03:45:00+0530,60605.97,Yes
2024-08-04T03:40:00+0530,2024-08-04T03:50:00+0530,60724.0,No
2024-08-04T03:45:00+0530,2024-08-04T03:55:00+0530,60686.01,No
2024-08-04T03:50:00+0530,2024-08-04T04:00:00+0530,60647.99,No
2024-08-04T03:55:00+0530,2024-08-04T04:05:00+0530,60631.42,Yes
2024-08-04T04:00:00+0530,2024-08-04T04:10:00+0530,60590.03,Yes
2024-08-04T04:05:00+0530,2024-08-04T04:15:00+0530,60679.99,No
2024-08-04T04:10:00+0530,2024-08-04T04:20:00+0530,60652.0,No
2024-08-04T04:15:00+0530,2024-08-04T04:25:00+0530,60538.14,Yes
2024-08-04T13:40:00+0530,2024-08-04T13:50:00+0530,60188.1,Yes
2024-08-04T13:45:00+0530,2024-08-04T13:55:00+0530,60246.0,Yes
2024-08-04T13:50:00+0530,2024-08-04T14:00:00+0530,60372.0,Yes
2024-08-04T13:55:00+0530,2024-08-04T14:05:00+0530,60405.04,Yes
2024-08-04T14:00:00+0530,2024-08-04T14:10:00+0530,60432.86,Yes
2024-08-04T14:05:00+0530,2024-08-04T14:15:00+0530,60522.0,Yes
2024-08-04T14:10:00+0530,2024-08-04T14:20:00+0530,60512.0,Yes
2024-08-04T14:15:00+0530,2024-08-04T14:25:00+0530,60588.0,Yes
2024-08-04T14:20:00+0530,2024-08-04T14:30:00+0530,60578.0,No
2024-08-04T14:25:00+0530,2024-08-04T14:35:00+0530,60617.44,No
2024-08-04T14:30:00+0530,2024-08-04T14:40:00+0530,60566.0,Yes
2024-08-04T14:35:00+0530,2024-08-04T14:45:00+0530,60530.0,Yes
2024-08-04T14:40:00+0530,2024-08-04T14:50:00+0530,60581.56,Yes
2024-08-04T14:45:00+0530,2024-08-04T14:55:00+0530,60650.0,Yes
2024-08-04T14:50:00+0530,2024-08-04T15:00:00+0530,60612.0,Yes
2024-08-04T14:55:00+0530,2024-08-04T15:05:00+0530,60654.0,Yes
2024-08-04T15:00:00+0530,2024-08-04T15:10:00+0530,60655.98,Yes
2024-08-04T15:05:00+0530,2024-08-04T15:15:00+0530,60666.06,Yes
2024-08-04T15:10:00+0530,2024-08-04T15:20:00+0530,60703.35,Yes
2024-08-04T15:15:00+0530,2024-08-04T15:25:00+0530,60686.01,Yes
2024-08-04T15:20:00+0530,2024-08-04T15:30:00+0530,60706.0,Yes
2024-08-04T15:25:00+0530,2024-08-04T15:35:00+0530,60730.0,No
2024-08-04T15:30:00+0530,2024-08-04T15:40:00+0530,60708.0,No
2024-08-04T15:35:00+0530,2024-08-04T15:45:00+0530,60647.15,No
2024-08-04T15:40:00+0530,2024-08-04T15:50:00+0530,60599.99,Yes
2024-08-04T15:45:00+0530,2024-08-04T15:55:00+0530,60535.99,Yes
2024-08-04T15:50:00+0530,2024-08-04T16:00:00+0530,60642.01,Yes
2024-08-04T15:55:00+0530,2024-08-04T16:05:00+0530,60744.0,No
2024-08-04T16:00:00+0530,2024-08-04T16:10:00+0530,60679.89,No
2024-08-04T16:05:00+0530,2024-08-04T16:15:00+0530,60668.0,Yes
2024-08-04T16:10:00+0530,2024-08-04T16:20:00+0530,60664.0,Yes
2024-08-04T16:15:00+0530,2024-08-04T16:25:00+0530,60668.41,Yes
2024-08-04T16:20:00+0530,2024-08-04T16:30:00+0530,60691.64,Yes
2024-08-04T16:25:00+0530,2024-08-04T16:35:00+0530,60765.41,Yes
2024-08-04T16:30:00+0530,2024-08-04T16:40:00+0530,60812.01,Yes
2024-08-04T16:35:00+0530,2024-08-04T16:45:00+0530,60863.63,No
2024-08-04T16:40:00+0530,2024-08-04T16:50:00+0530,60847.99,No
2024-08-04T16:45:00+0530,2024-08-04T16:55:00+0530,60810.01,Yes
2024-08-04T16:50:00+0530,2024-08-04T17:00:00+0530,60844.01,Yes
2024-08-04T16:55:00+0530,2024-08-04T17:05:00+0530,60930.01,No
2024-08-04T17:00:00+0530,2024-08-04T17:10:00+0530,60963.91,No
2024-08-04T17:05:00+0530,2024-08-04T17:15:00+0530,60858.01,Yes
2024-08-04T17:10:00+0530,2024-08-04T17:20:00+0530,60907.63,No
2024-08-04T17:15:00+0530,2024-08-04T17:25:00+0530,60872.01,No
2024-08-04T17:20:00+0530,2024-08-04T17:30:00+0530,60826.02,Yes
2024-08-04T17:25:00+0530,2024-08-04T17:35:00+0530,60822.87,Yes
2024-08-04T17:30:00+0530,2024-08-04T17:40:00+0530,60896.0,Yes
2024-08-04T17:35:00+0530,2024-08-04T17:45:00+0530,60947.22,No
2024-08-04T17:40:00+0530,2024-08-04T17:50:00+0530,60911.93,No
2024-08-04T17:45:00+0530,2024-08-04T17:55:00+0530,60845.78,Yes
2024-08-04T17:50:00+0530,2024-08-04T18:00:00+0530,60873.29,Yes
2024-08-04T17:55:00+0530,2024-08-04T18:05:00+0530,60912.99,Yes
2024-08-04T18:00:00+0530,2024-08-04T18:10:00+0530,60880.52,Yes
2024-08-04T18:05:00+0530,2024-08-04T18:15:00+0530,60943.2,Yes
2024-08-04T18:10:00+0530,2024-08-04T18:20:00+0530,60943.99,Yes
2024-08-04T18:15:00+0530,2024-08-04T18:25:00+0530,60969.99,Yes
2024-08-04T18:20:00+0530,2024-08-04T18:30:00+0530,60980.01,Yes
2024-08-04T18:35:00+0530,2024-08-04T18:45:00+0530,60984.55,No
2024-08-04T18:40:00+0530,2024-08-04T18:50:00+0530,60916.28,No
2024-08-04T18:45:00+0530,2024-08-04T18:55:00+0530,60894.14,Yes
2024-08-04T18:50:00+0530,2024-08-04T19:00:00+0530,60906.36,No
2024-08-04T18:55:00+0530,2024-08-04T19:05:00+0530,60946.67,No
2024-08-04T19:00:00+0530,2024-08-04T19:10:00+0530,60897.96,No
2024-08-04T19:05:00+0530,2024-08-04T19:15:00+0530,60885.66,Yes
2024-08-04T19:10:00+0530,2024-08-04T19:20:00+0530,60868.18,Yes
2024-08-04T19:15:00+0530,2024-08-04T19:25:00+0530,60923.28,No
2024-08-04T19:20:00+0530,2024-08-04T19:30:00+0530,60906.62,No
2024-08-04T19:25:00+0530,2024-08-04T19:35:00+0530,60919.46,No
2024-08-04T19:30:00+0530,2024-08-04T19:40:00+0530,60822.01,No
2024-08-04T19:35:00+0530,2024-08-04T19:45:00+0530,60823.87,No
2024-08-19T16:30:00+0530,2024-08-19T16:40:00+0530,58046.01,Yes
2024-08-19T16:35:00+0530,2024-08-19T16:45:00+0530,58097.98,Yes
2024-08-19T16:40:00+0530,2024-08-19T16:50:00+0530,58164.21,No
2024-08-19T20:45:00+0530,2024-08-19T20:55:00+0530,58588.0,Yes
2024-08-19T22:35:00+0530,2024-08-19T22:45:00+0530,58717.65,No
2024-08-19T22:40:00+0530,2024-08-19T22:50:00+0530,58719.75,No
2024-08-19T22:45:00+0530,2024-08-19T22:55:00+0530,58637.99,Yes
2024-08-19T22:50:00+0530,2024-08-19T23:00:00+0530,58664.0,Yes
2024-08-19T22:55:00+0530,2024-08-19T23:05:00+0530,58805.99,Yes
2024-08-19T23:00:00+0530,2024-08-19T23:10:00+0530,58843.99,Yes
2024-08-19T23:05:00+0530,2024-08-19T23:15:00+0530,59259.34,No
2024-08-19T23:10:00+0530,2024-08-19T23:20:00+0530,59148.01,No
2024-08-19T23:15:00+0530,2024-08-19T23:25:00+0530,59017.63,Yes
2024-08-19T23:20:00+0530,2024-08-19T23:30:00+0530,59060.01,No
2024-08-19T23:25:00+0530,2024-08-19T23:35:00+0530,59017.69,No
2024-08-19T23:30:00+0530,2024-08-19T23:40:00+0530,59021.61,No
2024-08-19T23:35:00+0530,2024-08-19T23:45:00+0530,58980.99,No
2024-08-19T23:40:00+0530,2024-08-19T23:50:00+0530,58855.99,No
2024-08-19T23:45:00+0530,2024-08-19T23:55:00+0530,58765.0,Yes
2024-08-19T23:50:00+0530,2024-08-20T00:00:00+0530,58850.0,Yes
2024-08-19T23:55:00+0530,2024-08-20T00:05:00+0530,58857.89,Yes
2024-08-20T00:00:00+0530,2024-08-20T00:10:00+0530,58966.55,Yes
2024-08-20T00:05:00+0530,2024-08-20T00:15:00+0530,59065.99,Yes
2024-08-20T00:15:00+0530,2024-08-20T00:25:00+0530,59141.07,No
2024-08-20T00:20:00+0530,2024-08-20T00:30:00+0530,59099.99,No
2024-08-20T00:25:00+0530,2024-08-20T00:35:00+0530,59109.26,No
2024-08-20T00:30:00+0530,2024-08-20T00:40:00+0530,59012.0,Yes
2024-08-20T00:35:00+0530,2024-08-20T00:45:00+0530,58962.2,Yes
2024-08-20T00:40:00+0530,2024-08-20T00:50:00+0530,59032.0,No
2024-08-20T00:45:00+0530,2024-08-20T00:55:00+0530,59018.0,No
2024-08-20T00:50:00+0530,2024-08-20T01:00:00+0530,58926.02,Yes
2024-08-20T00:55:00+0530,2024-08-20T01:05:00+0530,59010.0,No
2024-08-20T01:00:00+0530,2024-08-20T01:10:00+0530,58993.99,No
2024-08-20T01:05:00+0530,2024-08-20T01:15:00+0530,58923.28,Yes
2024-08-20T01:10:00+0530,2024-08-20T01:20:00+0530,58970.0,No
2024-08-20T01:15:00+0530,2024-08-20T01:25:00+0530,59008.0,Yes
2024-08-20T01:20:00+0530,2024-08-20T01:30:00+0530,58884.02,Yes
2024-08-20T01:25:00+0530,2024-08-20T01:35:00+0530,59047.99,No
2024-08-20T01:30:00+0530,2024-08-20T01:40:00+0530,58967.54,Yes
2024-08-20T01:35:00+0530,2024-08-20T01:45:00+0530,58998.0,No
2024-08-20T01:40:00+0530,2024-08-20T01:50:00+0530,59033.99,No
2024-08-20T01:45:00+0530,2024-08-20T01:55:00+0530,58987.99,Yes
2024-08-20T01:50:00+0530,2024-08-20T02:00:00+0530,59027.99,Yes
2024-08-20T01:55:00+0530,2024-08-20T02:05:00+0530,59120.01,Yes
2024-08-20T02:00:00+0530,2024-08-20T02:10:00+0530,59076.01,Yes
2024-08-20T02:05:00+0530,2024-08-20T02:15:00+0530,59206.54,Yes
2024-08-20T02:10:00+0530,2024-08-20T02:20:00+0530,59165.31,Yes
2024-08-20T02:15:00+0530,2024-08-20T02:25:00+0530,59255.34,No
2024-08-20T02:20:00+0530,2024-08-20T02:30:00+0530,59179.27,No
2024-08-20T02:25:00+0530,2024-08-20T02:35:00+0530,59235.49,No
2024-08-20T02:30:00+0530,2024-08-20T02:40:00+0530,59080.02,Yes
2024-08-20T02:35:00+0530,2024-08-20T02:45:00+0530,59103.65,No
2024-08-20T02:40:00+0530,2024-08-20T02:50:00+0530,59117.86,No
2024-08-20T02:45:00+0530,2024-08-20T02:55:00+0530,58987.91,Yes
2024-08-20T02:50:00+0530,2024-08-20T03:00:00+0530,59051.88,No
2024-08-20T02:55:00+0530,2024-08-20T03:05:00+0530,59065.59,Yes
2024-08-20T03:00:00+0530,2024-08-20T03:10:00+0530,59044.01,Yes
2024-08-20T03:10:00+0530,2024-08-20T03:20:00+0530,59129.35,No
2024-08-20T03:15:00+0530,2024-08-20T03:25:00+0530,59221.06,No
2024-08-20T03:20:00+0530,2024-08-20T03:30:00+0530,59120.87,No
2024-08-20T03:25:00+0530,2024-08-20T03:35:00+0530,59117.72,No
2024-08-20T03:30:00+0530,2024-08-20T03:40:00+0530,58967.54,Yes
2024-08-20T03:40:00+0530,2024-08-20T03:50:00+0530,59079.93,Yes
2024-08-20T03:45:00+0530,2024-08-20T03:55:00+0530,59109.31,No
2024-08-20T03:50:00+0530,2024-08-20T04:00:00+0530,59118.13,No
2024-08-20T03:55:00+0530,2024-08-20T04:05:00+0530,59052.3,Yes
2024-08-20T04:00:00+0530,2024-08-20T04:10:00+0530,59085.14,Yes
2024-08-20T04:05:00+0530,2024-08-20T04:15:00+0530,59108.16,Yes
2024-08-20T04:10:00+0530,2024-08-20T04:20:00+0530,59172.01,Yes
2024-08-20T04:15:00+0530,2024-08-20T04:25:00+0530,59192.95,No
2024-08-20T04:20:00+0530,2024-08-20T04:30:00+0530,59199.99,Yes
2024-08-20T04:25:00+0530,2024-08-20T04:35:00+0530,59143.99,Yes
2024-08-20T04:30:00+0530,2024-08-20T04:40:00+0530,59240.99,No
2024-08-20T04:35:00+0530,2024-08-20T04:45:00+0530,59166.96,No
2024-08-20T04:40:00+0530,2024-08-20T04:50:00+0530,59100.0,Yes
2024-08-20T04:45:00+0530,2024-08-20T04:55:00+0530,59120.08,Yes
2024-08-20T04:50:00+0530,2024-08-20T05:00:00+0530,59240.05,Yes
2024-08-20T04:55:00+0530,2024-08-20T05:05:00+0530,59272.01,Yes
2024-08-20T05:00:00+0530,2024-08-20T05:10:00+0530,59346.47,No
2024-08-20T10:20:00+0530,2024-08-20T10:30:00+0530,60915.78,No
2024-08-20T10:25:00+0530,2024-08-20T10:35:00+0530,60883.99,Yes
2024-08-20T10:30:00+0530,2024-08-20T10:40:00+0530,60865.61,Yes
2024-08-20T10:35:00+0530,2024-08-20T10:45:00+0530,60926.78,No
2024-08-20T10:40:00+0530,2024-08-20T10:50:00+0530,60891.99,Yes
2024-08-20T10:45:00+0530,2024-08-20T10:55:00+0530,60924.19,Yes
2024-08-20T10:50:00+0530,2024-08-20T11:00:00+0530,61275.98,No
2024-08-20T10:55:00+0530,2024-08-20T11:05:00+0530,61319.99,No
2024-08-20T11:00:00+0530,2024-08-20T11:10:00+0530,61132.01,No
2024-08-20T11:05:00+0530,2024-08-20T11:15:00+0530,61142.0,No
2024-08-20T11:10:00+0530,2024-08-20T11:20:00+0530,61075.34,No
2024-08-20T11:15:00+0530,2024-08-20T11:25:00+0530,61070.11,No
2024-08-20T11:20:00+0530,2024-08-20T11:30:00+0530,61031.17,Yes
